"animal","date","assay","amount","dpi"
"r03041",2021-07-26,"DENV3",0,0
"r03041",2021-07-27,"DENV3",0,1
"r03041",2021-07-28,"DENV3",0,2
"r03041",2021-07-29,"DENV3",390.83334,3
"r03041",2021-07-30,"DENV3",1741.6666,4
"r03041",2021-07-31,"DENV3",4433.3335,5
"r03041",2021-08-01,"DENV3",18000,6
"r03041",2021-08-02,"DENV3",26500,7
"r03041",2021-08-03,"DENV3",13300,8
"r03041",2021-08-04,"DENV3",605,9
"r03041",2021-08-05,"DENV3",0,10
"r03041",2021-08-10,"DENV3",0,15
"r04171",2022-01-03,"DENV3",0,0
"r04171",2022-01-04,"DENV3",0,1
"r04171",2022-01-05,"DENV3",2475,2
"r04171",2022-01-06,"DENV3",29666.666,3
"r04171",2022-01-07,"DENV3",50083.332,4
"r04171",2022-01-08,"DENV3",98916.664,5
"r04171",2022-01-09,"DENV3",476666.66,6
"r04171",2022-01-10,"DENV3",1891666.6,7
"r04171",2022-01-11,"DENV3",16183.333,8
"r04171",2022-01-12,"DENV3",966.6667,9
"r04171",2022-01-13,"DENV3",242.5,10
"r04171",2022-01-18,"DENV3",0,15
"r05029",2021-08-02,"DENV3",0,0
"r05029",2021-08-03,"DENV3",0,1
"r05029",2021-08-05,"DENV3",3066.6667,3
"r05029",2021-08-06,"DENV3",6225,4
"r05029",2021-08-07,"DENV3",15208.333,5
"r05029",2021-08-08,"DENV3",21083.334,6
"r05029",2021-08-09,"DENV3",22525.598,7
"r05029",2021-08-10,"DENV3",5641.6665,8
"r05029",2021-08-12,"DENV3",0,10
"r05029",2021-08-17,"DENV3",0,15
"r05031",2022-01-03,"DENV3",0,0
"r05031",2022-01-04,"DENV3",0,1
"r05031",2022-01-05,"DENV3",645.8333,2
"r05031",2022-01-06,"DENV3",7683.3335,3
"r05031",2022-01-07,"DENV3",22666.666,4
"r05031",2022-01-08,"DENV3",80750,5
"r05031",2022-01-09,"DENV3",93833.336,6
"r05031",2022-01-10,"DENV3",59916.668,7
"r05031",2022-01-11,"DENV3",6941.6665,8
"r05031",2022-01-18,"DENV3",0,15
"r10100",2022-01-03,"DENV3",0,0
"r10100",2022-01-04,"DENV3",0,1
"r10100",2022-01-05,"DENV3",245.83333,2
"r10100",2022-01-06,"DENV3",9158.333,3
