"animal","date","assay","amount","dpi"
"r03041",2019-08-19,"Lanciotti_ZIKV_universal",0,0
"r03041",2019-08-20,"Lanciotti_ZIKV_universal",0,1
"r03041",2019-08-21,"Lanciotti_ZIKV_universal",2050,2
"r03041",2019-08-22,"Lanciotti_ZIKV_universal",3966.6667,3
"r03041",2019-08-23,"Lanciotti_ZIKV_universal",7300,4
"r03041",2019-08-24,"Lanciotti_ZIKV_universal",11800,5
"r03041",2019-08-25,"Lanciotti_ZIKV_universal",5483.3335,6
"r03041",2019-08-26,"Lanciotti_ZIKV_universal",112.833336,7
"r03041",2019-08-27,"Lanciotti_ZIKV_universal",0,8
"r03041",2019-08-28,"Lanciotti_ZIKV_universal",210.83333,9
"r03041",2019-08-29,"Lanciotti_ZIKV_universal",0,10
"r03041",2019-09-02,"Lanciotti_ZIKV_universal",0,14
"r03041",2019-09-02,"Lanciotti_ZIKV_universal",0,14
"r03041",2019-09-05,"Lanciotti_ZIKV_universal",0,17
"r03041",2019-09-09,"Lanciotti_ZIKV_universal",0,21
"r03041",2019-09-16,"Lanciotti_ZIKV_universal",0,28
"r03041",2019-09-19,"Lanciotti_ZIKV_universal",0,31
"r03041",2019-09-26,"Lanciotti_ZIKV_universal",0,38
"r03041",2019-10-03,"Lanciotti_ZIKV_universal",0,45
"r03041",2019-10-10,"Lanciotti_ZIKV_universal",0,52
"r03041",2019-10-17,"Lanciotti_ZIKV_universal",0,59
"r03041",2019-10-24,"Lanciotti_ZIKV_universal",0,66
"r03041",2019-11-04,"Lanciotti_ZIKV_universal",0,77
"r03041",2019-11-07,"Lanciotti_ZIKV_universal",0,80
"r03041",2019-11-07,"Lanciotti_ZIKV_universal",0,80
"r03041",2019-11-14,"Lanciotti_ZIKV_universal",0,87
"r03041",2019-11-21,"Lanciotti_ZIKV_universal",0,94
"r03041",2019-11-27,"Lanciotti_ZIKV_universal",0,100
"r03041",2019-12-05,"Lanciotti_ZIKV_universal",0,108
"r04171",2019-07-22,"Lanciotti_ZIKV_universal",0,0
"r04171",2019-07-23,"Lanciotti_ZIKV_universal",71000,1
"r04171",2019-07-24,"Lanciotti_ZIKV_universal",570833.3,2
"r04171",2019-07-25,"Lanciotti_ZIKV_universal",55416.668,3
"r04171",2019-07-26,"Lanciotti_ZIKV_universal",3270.8333,4
"r04171",2019-07-27,"Lanciotti_ZIKV_universal",307.08334,5
"r04171",2019-07-28,"Lanciotti_ZIKV_universal",603.1667,6
"r04171",2019-07-29,"Lanciotti_ZIKV_universal",605.6667,7
"r04171",2019-07-30,"Lanciotti_ZIKV_universal",230.10834,8
"r04171",2019-07-31,"Lanciotti_ZIKV_universal",91.49167,9
"r04171",2019-08-01,"Lanciotti_ZIKV_universal",58.05,10
"r04171",2019-08-05,"Lanciotti_ZIKV_universal",118.725,14
"r04171",2019-08-08,"Lanciotti_ZIKV_universal",364.16666,17
"r04171",2019-08-12,"Lanciotti_ZIKV_universal",0,21
"r04171",2019-08-15,"Lanciotti_ZIKV_universal",0,24
"r04171",2019-10-02,"Lanciotti_ZIKV_universal",0,72
"r05029",2020-08-11,"Lanciotti_ZIKV_universal",0,0
"r05029",2020-08-14,"Lanciotti_ZIKV_universal",700,3
"r05029",2020-08-15,"Lanciotti_ZIKV_universal",64500,4
"r05029",2020-08-16,"Lanciotti_ZIKV_universal",600833.3,5
"r05029",2020-08-17,"Lanciotti_ZIKV_universal",76583.336,6
"r05029",2020-08-18,"Lanciotti_ZIKV_universal",141785.72,7
"r05029",2020-08-24,"Lanciotti_ZIKV_universal",1570.8334,13
"r05029",2020-08-26,"Lanciotti_ZIKV_universal",366.66666,15
"r05029",2020-08-28,"Lanciotti_ZIKV_universal",19.591667,17
"r05029",2020-09-02,"Lanciotti_ZIKV_universal",0,22
"r05029",2020-10-05,"Lanciotti_ZIKV_universal",0,55
"r05029",2020-10-09,"Lanciotti_ZIKV_universal",0,59
"r05029",2020-11-06,"Lanciotti_ZIKV_universal",0,87
"r05029",2020-11-24,"Lanciotti_ZIKV_universal",0,105
