"animal","group","auc","log_auc","peak","log_peak","ttpeak","duration"
"r14059","C1",400710.4146,5.60283063004072,157750,5.19796936791617,4,9
"rh3008","C1",35868.582985,4.55471421988893,12758.333,4.10579393330395,5,9
"rh3009","C1",709148.75745,5.8507373462736,345833.34,5.53886685903641,4,9
"rh3012","C1",88602.87716,4.94744782475865,37666.668,4.57595720413701,4,9
"rh3018","C1",436337.08767,5.63982212860882,186666.67,5.2710667800418,3,9
"rh3019","C1",46270.124335,4.66530066651809,26250,4.41912930774198,3,8
"rh3035","C1",261912.917065,5.41815691756123,94833.336,4.97696102822357,5,9
"rh3039","C1",397586.25275,5.59943135948274,255000,5.40654018043396,4,9
"r03041","C2",64472.91677,4.8093773182406,26500,4.42324587393681,7,7
"r04171","C2",2565508.6717,6.40917348695675,1891666.6,6.27684459583997,7,9
"r05029","C2",69396.4316,4.84133713938464,22525.598,4.35267632926943,7,6
"r05031","C2",268643.7534,5.42917674665252,93833.336,4.97235715681,6,7
"r10100","C2",365343.743465,5.56270167442411,178333.33,5.25123251918391,8,8
"rh2005","C2",2065647.53345,6.31505621876313,1107500,6.04434373489511,9,8
"rh2799","C2",22301059.56785,7.34832549773599,15258333,7.18350708876648,7,8
"rh2809","C2",279252.9237,5.4459977287532,91833.336,4.96300036107923,8,8
"rh2818","C2",4646435.96655,6.66711995642936,3191666.8,6.50401754606385,9,9
"rhbc48","C2",3256950.382,6.5128111423574,1546666.6,6.18939670711563,5,8
"rhbd23","C2",173032.915365,5.23812872510374,36833.332,4.5662410075804,7,9
"rhbd87","C2",97625.916025,4.98956512189418,39250,4.59383966108127,4,8
"rhbe47","C2",55841.625235,4.74695804966383,17500,4.24303804868629,6,9
"rhbi41","C2",606043.587135,5.78250386009282,185000,5.26717172840301,3,9
"r04118","C3",33641.70835,4.52687804147011,10191.667,4.0082452251929,7,8
"r04159","C3",1055986.384,6.02365831839496,545833.3,5.73706002742236,6,9
"r05055","C3",4836.8332,3.68456111083922,2083.3333,3.3187587556757,7,6
"r07035","C3",2201719.922133,6.3427620721251,1357500,6.13273983826088,8,8
"r11026","C3",1154608.57667,6.06243477920334,441666.66,5.64509461699778,6,6
