"animal","auc","peak","ttpeak","duration"
"r03041",29955.083534,11800,5,8
"r04171",668422.60972,570833.3,2,17
"r05029",1245166.65626,600833.3,5,13
"r05031",7644.506585,4866.6665,3,6
"r10100",150392.421275,98666.664,3,8
"rh2005",54731.873465,35333.332,3,8
"rh2799",1177419.952275,731583.3,2,31
"rh2809",16628.2086,11641.667,2,6
"rh2818",189506.44567,198333.33,2,6
"rhbc48",289730.48368,151416.67,3,31
"rhbd23",139850.841525,89722.22,3,6
"rhbd87",51019.4438,32166.666,3,12
"rhbe47",8011.208335,3150,6,7
"rhbi41",15921.333066,28666.666,3,5
"r04118",1283068.40321,613333.3,4,22
"r04159",1018540.425,520500,2,7
"r05055",706566.74381,290000,4,29
"r07035",210402.695736,44166.668,4,70
"r11026",32866.6659,17566.666,3,6
