"animal","group","auc","log_auc","peak","log_peak","ttpeak","duration"
"r03041","C1",29955.083534,4.47647053501985,11800,4.07188200730613,5,8
"r04171","C1",668422.60972,5.82505113169197,570833.3,5.75650930008454,2,17
"r05029","C1",1245166.65626,6.09522748239582,600833.3,5.7787539945778,5,13
"r05031","C1",7644.506585,3.88334945909729,4866.6665,3.68723158619168,3,6
"r10100","C1",150392.421275,5.17722595140604,98666.664,4.99417044460159,3,8
"rh2005","C1",54731.873465,4.73824031424128,35333.332,4.54818459415664,3,8
"rh2799","C1",1177419.952275,6.07093139098822,731583.3,5.86426378318953,2,31
"rh2809","C1",16628.2086,4.22084546406972,11641.667,4.06601517250162,2,6
"rh2818","C1",189506.44567,5.27762398618433,198333.33,5.29739570370982,2,6
"rhbc48","C1",289730.48368,5.46199419143272,151416.67,5.1801736908211,3,31
"rhbd23","C1",139850.841525,5.14566508399724,89722.22,4.9529000108073,3,6
"rhbd87","C1",51019.4438,4.70773571974011,32166.666,4.50740604962321,3,12
"rhbe47","C1",8011.208335,3.90369802590258,3150,3.4983105537896,6,7
"rhbi41","C1",15921.333066,4.20197942765857,28666.666,4.45737718642403,3,5
"r04118","C2",1283068.40321,6.10824981019002,613333.3,5.78769654468691,4,22
"r04159","C2",1018540.425,6.0079782704555,520500,5.71642073384656,2,7
"r05055","C2",706566.74381,5.84915319251052,290000,5.46239799789896,4,29
"r07035","C2",210402.695736,5.32305129981521,44166.668,4.64509463666394,4,70
"r11026","C2",32866.6659,4.51675565009095,17566.666,4.24468934401112,3,6
