animal,hexcode,dateA,dateB,dateC
r03041,#3366FF,7/26/21,8/19/19,
r04118,#FF6600,8/2/21,7/30/18,4/16/18
r04159,#993300,7/26/21,5/28/19,2/11/19
r04171,#0099CC,1/3/22,7/22/19,
r05029,#003366,8/2/21,8/11/20,
r05031,#006699,1/3/22,8/13/18,
r05055,#FF9933,7/26/21,7/9/18,4/16/18
r07035,#FFCC99,8/2/21,5/6/19,2/11/19
r10100,#6699CC,1/3/22,8/6/18,
r11026,#FF9900,8/2/21,7/9/18,4/16/18
r14059,#339933,6/21/21,,
rh2005,#0033FF,7/26/21,8/16/18,
rh2799,#6699FF,7/26/21,7/1/19,
rh2809,#3366CC,7/26/21,9/24/19,
rh2818,#3399FF,1/3/22,9/23/19,
rh3008,#33CC66,6/21/21,,
rh3009,#006633,6/21/21,,
rh3012,#33FF99,6/21/21,,
rh3018,#339966,6/21/21,,
rh3019,#00CC00,6/21/21,,
rh3035,#00CC66,6/21/21,,
rh3039,#00FF00,6/21/21,,
rhbc48,#3399CC,7/26/21,11/4/19,
rhbd23,#00CCFF,8/2/21,2/5/20,
rhbd87,#336699,1/3/22,1/16/20,
rhbe47,#0033CC,8/2/21,12/11/19,
rhbi41,#003399,1/3/22,11/11/19,
