Participant ID,Date,Key,Assay,Nucleic Acid,Viral Load,Viral Load Replicates,Equivocal,Sample Source,Comment,Experiment Number,RNA Isolation Method
r14059,2021-06-21,156080,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
r14059,2021-06-22,156100,DENV3,vRNA,47.916668,0 ; 96,Equoivical,Plasma,,9128,
r14059,2021-06-23,156108,DENV3,vRNA,1675.8334,1435 ; 1917,,Plasma,,9128,
r14059,2021-06-24,156126,DENV3,vRNA,88500.0,86333 ; 90667,,Plasma,,9128,
r14059,2021-06-25,156440,DENV3,vRNA,157750.0,140500 ; 175000,,Plasma,,9144,
r14059,2021-06-26,156460,DENV3,vRNA,110416.664,109667 ; 111167,,Plasma,,9144,
r14059,2021-06-27,156468,DENV3,vRNA,32083.334,30333 ; 33833,,Plasma,,9144,
r14059,2021-06-28,156486,DENV3,vRNA,6125.0,5600 ; 6650,,Plasma,,9144,
r14059,2021-06-29,156528,DENV3,vRNA,2958.3333,2600 ; 3317,,Plasma,,9142,
r14059,2021-06-30,156542,DENV3,vRNA,1191.6666,1008 ; 1375,,Plasma,,9142,
r14059,2021-07-01,156820,DENV3,vRNA,1695.0,1373 ; 2017,,Plasma,,9153,
r14059,2021-07-06,156834,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9153,
rh3008,2021-06-21,156073,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3008,2021-06-22,156081,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3008,2021-06-23,156101,DENV3,vRNA,132.16667,96 ; 168,,Plasma,,9128,
rh3008,2021-06-24,156119,DENV3,vRNA,2316.6667,2117 ; 2517,,Plasma,,9128,
rh3008,2021-06-25,156433,DENV3,vRNA,4258.3335,4183 ; 4333,,Plasma,,9144,
rh3008,2021-06-26,156441,DENV3,vRNA,12758.333,12417 ; 13100,,Plasma,,9144,
rh3008,2021-06-27,156461,DENV3,vRNA,6391.6665,5917 ; 6867,,Plasma,,9144,
rh3008,2021-06-28,156479,DENV3,vRNA,2106.6667,1613 ; 2600,,Plasma,,9144,
rh3008,2021-06-29,156521,DENV3,vRNA,3508.3333,3483 ; 3533,,Plasma,,9142,
rh3008,2021-06-30,156529,DENV3,vRNA,3183.3333,2567 ; 3800,,Plasma,,9142,
rh3008,2021-07-01,156813,DENV3,vRNA,2558.3333,2283 ; 2833,,Plasma,,9153,
rh3008,2021-07-06,156821,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9153,
rh3009,2021-06-21,156074,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3009,2021-06-22,156082,DENV3,vRNA,46.916668,0 ; 94,Equoivical,Plasma,,9128,
rh3009,2021-06-23,156102,DENV3,vRNA,7691.6665,7383 ; 8000,,Plasma,,9128,
rh3009,2021-06-24,156120,DENV3,vRNA,66416.664,65833 ; 67000,,Plasma,,9128,
rh3009,2021-06-25,156434,DENV3,vRNA,345833.34,328333 ; 363333,,Plasma,,9144,
rh3009,2021-06-26,156442,DENV3,vRNA,249166.67,241667 ; 256667,,Plasma,,9144,
rh3009,2021-06-27,156462,DENV3,vRNA,33750.0,29667 ; 37833,,Plasma,,9144,
rh3009,2021-06-28,156480,DENV3,vRNA,4508.3335,3733 ; 5283,,Plasma,,9144,
rh3009,2021-06-29,156522,DENV3,vRNA,2641.6667,2450 ; 2833,,Plasma,,9142,
rh3009,2021-06-30,156530,DENV3,vRNA,2258.3333,2000 ; 2517,,Plasma,,9142,
rh3009,2021-07-01,156814,DENV3,vRNA,1455.8334,1195 ; 1717,,Plasma,,9153,
rh3009,2021-07-06,156822,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9153,
rh3012,2021-06-21,156075,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3012,2021-06-22,156083,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3012,2021-06-23,156103,DENV3,vRNA,149.66667,137 ; 162,,Plasma,,9128,
rh3012,2021-06-24,156121,DENV3,vRNA,20083.334,18167 ; 22000,,Plasma,,9128,
rh3012,2021-06-25,156435,DENV3,vRNA,37666.668,37000 ; 38333,,Plasma,,9144,
rh3012,2021-06-26,156443,DENV3,vRNA,23500.0,22833 ; 24167,,Plasma,,9144,
rh3012,2021-06-27,156463,DENV3,vRNA,6583.3335,6350 ; 6817,,Plasma,,9144,
rh3012,2021-06-28,156481,DENV3,vRNA,147.5,136 ; 159,,Plasma,,9144,
rh3012,2021-06-29,156523,DENV3,vRNA,138.08333,134 ; 142,,Plasma,,9142,
rh3012,2021-06-30,156531,DENV3,vRNA,326.66666,308 ; 345,,Plasma,,9142,
rh3012,2021-07-01,156815,DENV3,vRNA,164.91667,160 ; 170,,Plasma,,9153,
rh3012,2021-07-06,156823,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9153,
rh3018,2021-06-21,156076,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3018,2021-06-22,156084,DENV3,vRNA,106.666664,0 ; 213,Equoivical,Plasma,,9128,
rh3018,2021-06-23,156104,DENV3,vRNA,8875.0,8850 ; 8900,,Plasma,,9128,
rh3018,2021-06-24,156122,DENV3,vRNA,186666.67,185000 ; 188333,,Plasma,,9128,
rh3018,2021-06-25,156436,DENV3,vRNA,152416.67,147500 ; 157333,,Plasma,,9144,
rh3018,2021-06-26,156444,DENV3,vRNA,57333.332,57000 ; 57667,,Plasma,,9144,
rh3018,2021-06-27,156464,DENV3,vRNA,16816.666,14800 ; 18833,,Plasma,,9144,
rh3018,2021-06-28,156482,DENV3,vRNA,14983.333,14417 ; 15550,,Plasma,,9144,
rh3018,2021-06-29,156524,DENV3,vRNA,2958.3333,2533 ; 3383,,Plasma,,9142,
rh3018,2021-06-30,156532,DENV3,vRNA,561.6667,500 ; 623,,Plasma,,9142,
rh3018,2021-07-01,156816,DENV3,vRNA,325.83334,303 ; 348,,Plasma,,9153,
rh3018,2021-07-06,156824,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9153,
rh3019,2021-06-21,156077,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3019,2021-06-22,156097,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3019,2021-06-23,156105,DENV3,vRNA,378.33334,375 ; 382,,Plasma,,9128,
rh3019,2021-06-24,156123,DENV3,vRNA,26250.0,25667 ; 26833,,Plasma,,9128,
rh3019,2021-06-25,156437,DENV3,vRNA,16516.666,14700 ; 18333,,Plasma,,9144,
rh3019,2021-06-26,156457,DENV3,vRNA,1925.0,1900 ; 1950,,Plasma,,9144,
rh3019,2021-06-27,156465,DENV3,vRNA,470.0,290 ; 650,,Plasma,,9144,
rh3019,2021-06-28,156483,DENV3,vRNA,316.66666,272 ; 362,,Plasma,,9144,
rh3019,2021-06-29,156525,DENV3,vRNA,503.33334,360 ; 647,,Plasma,,9142,
rh3019,2021-06-30,156539,DENV3,vRNA,198.58333,46 ; 352,,Plasma,,9142,
rh3019,2021-07-01,156817,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9153,
rh3019,2021-07-06,156831,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9153,
rh3035,2021-06-21,156078,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3035,2021-06-22,156098,DENV3,vRNA,47.666668,0 ; 95,Equoivical,Plasma,,9128,
rh3035,2021-06-23,156106,DENV3,vRNA,223.33333,195 ; 252,,Plasma,,9128,
rh3035,2021-06-24,156124,DENV3,vRNA,40583.332,37500 ; 43667,,Plasma,,9128,
rh3035,2021-06-25,156438,DENV3,vRNA,81000.0,76167 ; 85833,,Plasma,,9144,
rh3035,2021-06-26,156458,DENV3,vRNA,94833.336,90333 ; 99333,,Plasma,,9144,
rh3035,2021-06-27,156466,DENV3,vRNA,33333.332,32833 ; 33833,,Plasma,,9144,
rh3035,2021-06-28,156484,DENV3,vRNA,8366.667,7550 ; 9183,,Plasma,,9144,
rh3035,2021-06-29,156526,DENV3,vRNA,2325.0,2117 ; 2533,,Plasma,,9142,
rh3035,2021-06-30,156540,DENV3,vRNA,1115.8334,1002 ; 1230,,Plasma,,9142,
rh3035,2021-07-01,156818,DENV3,vRNA,487.5,363 ; 612,,Plasma,,9153,
rh3035,2021-07-06,156832,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9153,
rh3039,2021-06-21,156079,DENV3,vRNA,0.0,0 ; 0,,Plasma,,9128,
rh3039,2021-06-22,156099,DENV3,vRNA,65.583336,0 ; 131,Equoivical,Plasma,,9128,
rh3039,2021-06-23,156107,DENV3,vRNA,3408.3333,3350 ; 3467,,Plasma,,9128,
rh3039,2021-06-24,156125,DENV3,vRNA,27750.0,27667 ; 27833,,Plasma,,9128,
rh3039,2021-06-25,156439,DENV3,vRNA,255000.0,228333 ; 281667,,Plasma,,9144,
rh3039,2021-06-26,156459,DENV3,vRNA,104583.336,102167 ; 107000,,Plasma,,9144,
rh3039,2021-06-27,156467,DENV3,vRNA,3616.6667,3317 ; 3917,,Plasma,,9144,
rh3039,2021-06-28,156485,DENV3,vRNA,1461.6666,1430 ; 1493,,Plasma,,9144,
rh3039,2021-06-29,156527,DENV3,vRNA,1618.3334,1370 ; 1867,,Plasma,,9142,
