Participant ID,Date,Key,Assay,Nucleic Acid,Viral Load,Viral Load Replicates,Equivocal,Sample Source,Comment,Experiment Number,RNA Isolation Method
r03041,2019-08-15,117215,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,plasma,6995,
r03041,2019-08-19,117225,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,plasma,6995,
r03041,2019-08-20,117357,Lanciotti_ZIKV_universal,vRNA,0.0,0,,Plasma,plasma,6998,
r03041,2019-08-20,123535,Lanciotti_ZIKV_universal,vRNA,45.0,0 ; 90,Equoivical,Plasma,plasma,7291,
r03041,2019-08-21,117226,Lanciotti_ZIKV_universal,vRNA,2050.0,1833 ; 2267,,Plasma,plasma,6995,
r03041,2019-08-22,123549,Lanciotti_ZIKV_universal,vRNA,3966.6667,3917 ; 4017,,Plasma,plasma,7291,
r03041,2019-08-23,123550,Lanciotti_ZIKV_universal,vRNA,7300.0,6450 ; 8150,,Plasma,plasma,7291,
r03041,2019-08-24,123551,Lanciotti_ZIKV_universal,vRNA,11800.0,10783 ; 12817,,Plasma,plasma,7291,
r03041,2019-08-25,123552,Lanciotti_ZIKV_universal,vRNA,5483.3335,4883 ; 6083,,Plasma,plasma,7291,
r03041,2019-08-26,123553,Lanciotti_ZIKV_universal,vRNA,112.833336,91 ; 135,,Plasma,plasma,7291,
r03041,2019-08-27,117227,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,plasma,6995,
r03041,2019-08-28,123554,Lanciotti_ZIKV_universal,vRNA,210.83333,195 ; 227,,Plasma,plasma,7291,
r03041,2019-08-29,117228,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,plasma,6995,
r03041,2019-09-02,117380,Lanciotti_ZIKV_universal,vRNA,0.0,0,,Plasma,plasma,6998,
r03041,2019-09-02,123556,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,plasma,7291,
r03041,2019-09-05,118032,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,plasma,7039,
r03041,2019-09-09,118033,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,plasma,7039,
r03041,2019-09-16,118034,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,plasma,7039,
